Country Name;Females out of school
Arab World;
Caribbean small states;
East Asia & Pacific (all income levels);
East Asia & Pacific (developing only);
Euro area;
Europe & Central Asia (all income levels);
Europe & Central Asia (developing only);
European Union;
Heavily indebted poor countries (HIPC);
High income;
High income: nonOECD;
High income: OECD;
Latin America & Caribbean (all income levels);
Latin America & Caribbean (developing only);
Least developed countries: UN classification;
Low & middle income;
Low income;
Lower middle income;
Middle East & North Africa (all income levels);
Middle East & North Africa (developing only);
Middle income;
North America;
Not classified;
OECD members;
Other small states;
Pacific island small states;
Small states;
South Asia;
Sub-Saharan Africa (all income levels);
Sub-Saharan Africa (developing only);
Upper middle income;
World;
Afghanistan;
Albania;20366
Algeria;53198
American Samoa;
Andorra;509
Angola;373254
Antigua and Barbuda;853
Argentina;
Armenia;9943
Aruba;5
Australia;
Austria;
Azerbaijan;38153
Bahamas, The;
Bahrain;
Bangladesh;
Barbados;
Belarus;
Belgium;
Belize;
Benin;
Bermuda;
Bhutan;
Bolivia;
Bosnia and Herzegovina;11182
Botswana;
Brazil;
Brunei Darussalam;
Bulgaria;
Burkina Faso;
Burundi;
Cambodia;40420
Cameroon;
Canada;
Cape Verde;2464
Cayman Islands;
Central African Republic;135036
Chad;
Channel Islands;
Chile;
China;
Colombia;187588
Comoros;
Congo, Dem. Rep.;
Congo, Rep.;32488
Costa Rica;
Cote d'Ivoire;
Croatia;
Cuba;1360
Curacao;
Cyprus;
Czech Republic;
Denmark;
Djibouti;
Dominica;
Dominican Republic;57012
Ecuador;
Egypt, Arab Rep.;
El Salvador;
Equatorial Guinea;21512
Eritrea;214616
Estonia;
Ethiopia;1367141
Faeroe Islands;
Fiji;
Finland;
France;
French Polynesia;
Gabon;
Gambia, The;40544
Georgia;
Germany;
Ghana;
Greece;
Greenland;
Grenada;
Guam;
Guatemala;27139
Guinea;223586
Guinea-Bissau;30200
Guyana;7914
Haiti;
Honduras;8408
Hong Kong SAR, China;
Hungary;
Iceland;
India;
Indonesia;
Iran, Islamic Rep.;
Iraq;
Ireland;
Isle of Man;
Israel;
Italy;
Jamaica;
Japan;
Jordan;
Kazakhstan;
Kenya;
Kiribati;
Korea, Dem. Rep.;
Korea, Rep.;
Kosovo;
Kuwait;
Kyrgyz Republic;9467
Lao PDR;
Latvia;
Lebanon;15275
Lesotho;46258
Liberia;
Libya;
Liechtenstein;
Lithuania;
Luxembourg;
Macao SAR, China;2023
Macedonia, FYR;
Madagascar;
Malawi;
Malaysia;
Maldives;
Mali;481452
Malta;
Marshall Islands;
Mauritania;61454
Mauritius;3216
Mexico;
Micronesia, Fed. Sts.;
Moldova;7228
Monaco;
Mongolia;
Montenegro;
Morocco;116268
Mozambique;242911
Myanmar;
Namibia;
Nepal;
Netherlands;
New Caledonia;
New Zealand;
Nicaragua;21092
Niger;607327
Nigeria;
Northern Mariana Islands;
Norway;
Oman;2284
Pakistan;3241203
Palau;
Panama;3672
Papua New Guinea;
Paraguay;
Peru;
Philippines;
Poland;
Portugal;
Puerto Rico;17871
Qatar;1438
Romania;
Russian Federation;
Rwanda;
Samoa;
San Marino;
Sao Tome and Principe;
Saudi Arabia;
Senegal;191453
Serbia;8099
Seychelles;
Sierra Leone;
Singapore;
Sint Maarten (Dutch part);
Slovak Republic;
Slovenia;
Solomon Islands;
Somalia;
South Africa;
South Sudan;
Spain;
Sri Lanka;
St. Kitts and Nevis;455
St. Lucia;1111
St. Martin (French part);
St. Vincent and the Grenadines;
Sudan;
Suriname;
Swaziland;15433
Sweden;
Switzerland;
Syrian Arab Republic;
Tajikistan;13257
Tanzania;289874
Thailand;
Timor-Leste;13862
Togo;
Tonga;
Trinidad and Tobago;
Tunisia;
Turkey;
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;265626
Ukraine;64240
United Arab Emirates;
United Kingdom;
United States;
Uruguay;
Uzbekistan;
Vanuatu;
Venezuela, RB;80029
Vietnam;
Virgin Islands (U.S.);
West Bank and Gaza;24953
Yemen, Rep.;567702
Zambia;76290
Zimbabwe;
